algoritmo,representacion,params,accuracy_mean,f1_macro_mean,tiempo_total_s,memoria_media_mb
k-NN,Binaria,"k=1,w=uniform,p=1",0.2964,0.24584152998941505,15.409103399986634,374.6822233200073
k-NN,Binaria,"k=1,w=uniform,p=2",0.2964,0.24584152998941505,2.5209011000406463,365.3790229797363
k-NN,Binaria,"k=3,w=uniform,p=2",0.29050000000000004,0.24574137130553622,2.5673669999814592,375.69638442993164
k-NN,Binaria,"k=5,w=distance,p=2",0.2853,0.21512847759937706,2.5449820999638177,371.00567417144777
k-NN,Binaria,"k=7,w=distance,p=1",0.2739,0.1976441885375238,15.764436000026762,374.66208095550536
GaussianNB,Binaria,default,0.6498,0.6594306622776538,0.16528710001148283,12.272895431518554
MultinomialNB,Binaria,default,0.9302999999999999,0.9304077392342126,0.08593270002165809,7.525469779968262
k-NN,Frecuencia,"k=1,w=uniform,p=1",0.3075,0.2517299443779028,15.527282699942589,374.66307563781737
k-NN,Frecuencia,"k=1,w=uniform,p=2",0.6022000000000001,0.5989307199685412,2.675917999993544,363.06566886901857
k-NN,Frecuencia,"k=3,w=uniform,p=2",0.5753999999999999,0.573962660853313,2.542915200057905,365.69097156524657
k-NN,Frecuencia,"k=5,w=distance,p=2",0.5597000000000001,0.5499722271006875,2.5433452000143006,370.7008502960205
k-NN,Frecuencia,"k=7,w=distance,p=1",0.2813,0.20345148890746456,16.587507500022184,374.66312351226804
GaussianNB,Frecuencia,default,0.48500000000000004,0.4723712104418059,0.16733539995038882,12.272850799560548
MultinomialNB,Frecuencia,default,0.9405000000000001,0.9405861643299576,0.08539759999257512,7.525440406799317
k-NN,TF-IDF,"k=1,w=uniform,p=1",0.2544,0.10903358290048848,5.514817900053458,18.905170440673828
k-NN,TF-IDF,"k=1,w=uniform,p=2",0.34780000000000005,0.33521067729918397,2.423106900037965,274.6278799057007
k-NN,TF-IDF,"k=3,w=uniform,p=2",0.3156,0.2927613320256891,2.551116400019964,283.2372060775757
k-NN,TF-IDF,"k=5,w=distance,p=2",0.2904999999999999,0.2387019748926152,2.9194222999794874,280.1393840789795
k-NN,TF-IDF,"k=7,w=distance,p=1",0.2543,0.10882672910719857,6.793516900012037,19.387519073486327
GaussianNB,TF-IDF,default,0.8123999999999999,0.8123155828037081,0.20660519998637028,12.272815704345703
MultinomialNB,TF-IDF,default,0.9369999999999999,0.9368806296654337,0.0918023000122048,6.070138931274414
